"","Cond.","Rho","a.ps","b.s","K","postVar","missingRate","Method","a.para","cp.para","b.para","beta1.para","a.bias","cp.bias","b.bias","ab.bias","beta1.bias","a.Ebias","cp.Ebias","b.Ebias","ab.Ebias","beta1.Ebias","a.empSE","cp.empSE","b.empSE","beta1.empSE","a.meanSE","cp.meanSE","b.meanSE","beta1.meanSE","a.seRbias","cp.seRbias","b.seRbias","beta1.seRbias","a.CoverageRate","cp.CoverageRate","b.CoverageRate","beta1.CoverageRate","ab.CoverageRate","a.power","a.typeIerror","cp.power","cp.typeIerror","b.power","b.typeIerror","beta1.power","beta1.typeIerror","ab.power","ab.typeIerror","ConvergenceRate","posDefRate"
"1","Cond1","0.45","0","0","5","1","0.4","1","0","0.3","0","0.1","-0.000580320841541712","-0.00409759771997715","0.00354820868170737","-0.00406859914025557","-0.00340343209264797","-0.000580320841541712","-0.00682932953329533","0.00354820868170737","-0.00406859914025557","-0.0340343209264797","0.0873637550617801","0.0834020708717022","0.154789745927878","0.105174950311098","0.0885959234051801","0.0735230716270441","0.115309663379993","0.0865401374444248","0.0141038848722637","-0.118450287161994","-0.255056188064811","-0.177179193444377","0.918669131238447","0.909426987060998","0.829944547134935","0.913123844731978","1",NA,"0.0813308687615527","0.940850277264325",NA,NA,"0.170055452865065","0.299445471349353",NA,NA,"0.00369685767097967","1","0.1082"
"2","Cond2","0.45","0","0.3","5","1","0.4","1","0","0.3","0.3","0.1","0.00733394515062794","-0.00791973461825719","-0.000305587592417312","-0.00416389142015239","-0.00244955620262024","0.00733394515062794","-0.0131995576970954","-0.00101862530805778","-0.00416389142015239","-0.0244955620262025","0.0880988525803575","0.0787066822909431","0.162333750715261","0.0992188678394038","0.0873739542398522","0.0745436051342977","0.105805965150469","0.0850984298648665","-0.00822823815831398","-0.0528935667908897","-0.348219549636009","-0.14231605623028","0.930232558139535","0.941860465116279","0.767441860465116","0.924418604651163","1",NA,"0.0697674418604651","0.967054263565892",NA,"0.686046511627907",NA,"0.308139534883721",NA,NA,"0.0193798449612403","1","0.1032"
"3","Cond3","0.45","0.6","0","5","1","0.4","1","0.3","0.3","0","0.1","-0.00704683471264411","-0.0150380400357296","0.000322597282471605","-0.00251702945026026","0.00209276137586663","-0.0117447245210735","-0.0250634000595494","0.000322597282471605","-0.00251702945026026","0.0209276137586663","0.0775315160394213","0.0957764309715232","0.161368009842063","0.10219619839553","0.0819123623104945","0.0837981163998302","0.123813600010639","0.0863969321838957","0.0565040707942015","-0.125065367859181","-0.232725246275145","-0.154597396573265","0.919463087248322","0.895973154362416","0.880872483221476","0.911073825503356","1","0.906040268456376",NA,"0.87751677852349",NA,NA,"0.119127516778523","0.337248322147651",NA,NA,"0.0570469798657718","1","0.1192"
"4","Cond4","0.45","0.6","0.3","5","1","0.4","1","0.3","0.3","0.3","0.1","0.000357591365941582","0.00119583641226867","-0.0120906916955809","-0.0101554973398537","-0.00254831584316602","0.000595985609902668","0.00199306068711454","-0.0403023056519364","-0.0564194296658538","-0.0254831584316602","0.0804603379859483","0.0915650167714739","0.164538807888575","0.0866878616637321","0.0821056196449652","0.0800979005967127","0.108394227599487","0.0782582369521197","0.0204483562982834","-0.125234686554808","-0.341223939869","-0.0972411194581253","0.924908424908425","0.893772893772894","0.796703296703297","0.895604395604396","0.989010989010989","0.913919413919414",NA,"0.913919413919414",NA,"0.652014652014652",NA,"0.366300366300366",NA,"0.532967032967033",NA,"1","0.1092"
"5","Cond5","0.9","0","0","5","1","0.4","1","0","0.3","0","0.1","0.00459286090966891","-0.00929357185712442","-2.21094124503875e-05","-0.0025990845104548","-0.00686227165217278","0.00459286090966891","-0.0154892864285407","-2.21094124503875e-05","-0.0025990845104548","-0.0686227165217278","0.0886152159034855","0.0799568725337871","0.156391219846731","0.100102399435345","0.0891435349994487","0.0717224285047698","0.1144053509204","0.081599262859019","0.00596194559339136","-0.102986069465608","-0.268466918842877","-0.184842088508345","0.910505836575875","0.904669260700389","0.832684824902724","0.910505836575875","1",NA,"0.0894941634241245","0.939688715953307",NA,NA,"0.167315175097276","0.33852140077821",NA,NA,"0.00194552529182879","1","0.1028"
"6","Cond6","0.9","0","0.3","5","1","0.4","1","0","0.3","0.3","0.1","0.0118340108788804","-0.0136145094169412","-0.00584742548312589","-0.000334150085280946","0.00303046159349674","0.0118340108788804","-0.0226908490282353","-0.0194914182770863","-0.000334150085280946","0.0303046159349674","0.0852916017086918","0.0823328945881451","0.150014010051435","0.0919620554676729","0.0884365156592663","0.0747000444024004","0.104941713590375","0.0823658172502732","0.0368724925733699","-0.0927071764441981","-0.300453913908479","-0.104349975308817","0.93158953722334","0.925553319919517","0.806841046277666","0.89738430583501","1",NA,"0.06841046277666","0.93158953722334",NA,"0.706237424547284",NA,"0.360160965794769",NA,NA,"0.0181086519114688","1","0.0994"
"7","Cond7","0.9","0.6","0","5","1","0.4","1","0.3","0.3","0","0.1","-0.0154239248356719","-0.00898857276748457","-0.0106913439454463","-0.011344528441933","-0.0078258487553269","-0.0257065413927865","-0.0149809546124742","-0.0106913439454463","-0.011344528441933","-0.078258487553269","0.0811456892586277","0.0975257108050043","0.168158492430016","0.103453550931297","0.0809997647501531","0.0868145992755514","0.124111935270757","0.0859543839251546","-0.00179830265548086","-0.109828592286489","-0.261934776666666","-0.169149989039659","0.936454849498328","0.92809364548495","0.842809364548495","0.91304347826087","1","0.899665551839465",NA,"0.891304347826087",NA,NA,"0.157190635451505","0.312709030100334",NA,NA,"0.0785953177257525","1","0.1196"
"8","Cond8","0.9","0.6","0.3","5","1","0.4","1","0.3","0.3","0.3","0.1","-0.00599287673395753","-0.00991288422557579","0.00239186621997999","-0.00425859246930116","-0.00638873525364162","-0.00998812788992924","-0.016521473709293","0.00797288739993333","-0.0236588470516731","-0.0638873525364161","0.0856575723774974","0.0937054166174721","0.159128680931668","0.0987299584740997","0.082988278823679","0.0814235121307059","0.107721689542295","0.081319728565992","-0.0311623768889296","-0.131069312000435","-0.323052959959165","-0.176341914624374","0.917670682730924","0.891566265060241","0.799196787148594","0.933734939759036","0.98995983935743","0.893574297188755",NA,"0.899598393574297",NA,"0.696787148594378",NA,"0.34136546184739",NA,"0.556224899598394",NA,"1","0.0996"
"9","Cond9","0.45","0","0","10","1","0.4","1","0","0.3","0","0.1","-0.00465699329674605","-0.00379062199912733","0.00126411706797317","-0.00136290779315207","-0.000214874185861464","-0.00465699329674605","-0.00631770333187898","0.00126411706797317","-0.00136290779315207","-0.00214874185861469","0.0604798154293184","0.0481001901500611","0.106979676222935","0.0540668601544562","0.0610825303476352","0.0455424451228765","0.101609018727767","0.0482298080482396","0.00996555485558848","-0.0531753620766386","-0.0502025962760977","-0.107959886879719","0.924355300859599","0.926647564469914","0.903724928366762","0.921489971346705","1",NA,"0.0756446991404011","0.999426934097421",NA,NA,"0.0962750716332378","0.574785100286533",NA,NA,"0.00114613180515759","1","0.349"
"10","Cond10","0.45","0","0.3","10","1","0.4","1","0","0.3","0.3","0.1","-0.000561658391671133","-0.00770172403683529","-0.00349741053527026","-0.00119379903027804","-0.000623284557431586","-0.000561658391671133","-0.0128362067280589","-0.0116580351175675","-0.00119379903027804","-0.00623284557431589","0.061026471795938","0.0492024686638039","0.104885469060474","0.0537392056215525","0.0599315502640031","0.0465992262535518","0.0957204536079032","0.0482787449181427","-0.01794174724038","-0.052908776346973","-0.0873811742910424","-0.101610372543725","0.914179104477612","0.923240938166311","0.87953091684435","0.915245202558635","1",NA,"0.0858208955223881","1",NA,"0.797974413646055",NA,"0.576226012793177",NA,NA,"0.0319829424307036","1","0.3752"
