,Cond.,Rho12,a.p.cs,b.s,cp.p.cs,K,beta,postVar,Method,a.para,cp.para,b.para,beta.para,a.bias,cp.bias,b.bias,ab.bias,beta.bias,a.Ebias,cp.Ebias,b.Ebias,ab.Ebias,beta.Ebias,a.empSE,cp.empSE,b.empSE,beta.empSE,a.meanSE,cp.meanSE,b.meanSE,beta.meanSE,a.seRbias,cp.seRbias,b.seRbias,beta.seRbias,a.CoverageRate,cp.CoverageRate,b.CoverageRate,beta.CoverageRate,ab.CoverageRate,a.power,a.typeIerror,cp.power,cp.typeIerror,b.power,b.typeIerror,beta.power,beta.typeIerror,ab.power,ab.typeIerror,ConvergenceRate,posDefRate
1,Cond1,0.45,0,0,0,5,0,1,1,0,0,0,0,-0.006190946,-0.00038027,-0.001134423,4.76E-05,0.003477716,-0.006190946,-0.00038027,-0.001134423,4.76E-05,0.003477716,0.065956449,0.084673878,0.068122617,0.107925954,0.066023515,0.07156638,0.065849913,0.085115011,0.001016829,-0.154799779,-0.033361958,-0.211357343,0.929440389,0.901216545,0.915328467,0.898296837,1,NA,0.070559611,NA,0.098783455,NA,0.084671533,NA,0.101703163,NA,0.000486618,1,0.411
2,Cond2,0.45,0,0,0.6,5,0,1,1,0,0.3,0,0,0.003556175,-0.005400524,0.000206534,-0.001270698,0.003380509,0.003556175,-0.009000874,0.000206534,-0.001270698,0.003380509,0.067349885,0.077369031,0.06770829,0.09976888,0.066051036,0.067128655,0.065533935,0.078962083,-0.019285082,-0.132357552,-0.032113572,-0.208549975,0.923151281,0.88738521,0.92121798,0.901401643,1,NA,0.076848719,0.960367327,NA,NA,0.07878202,NA,0.098598357,NA,0.000966651,1,0.4138
3,Cond3,0.45,0,0.3,0,5,0,1,1,0,0,0.3,0,0.00073278,0.004415292,-0.005810903,0.0002974,-0.002366639,0.00073278,0.004415292,-0.019369675,0.0002974,-0.002366639,0.066074669,0.080545365,0.064405243,0.103534296,0.06550638,0.071611807,0.062163325,0.08537004,-0.008600707,-0.110913369,-0.034809556,-0.17544193,0.922102299,0.906616612,0.916001877,0.89770061,0.999530737,NA,0.077897701,NA,0.093383388,0.986860629,NA,NA,0.10229939,NA,0.050680432,1,0.4262
4,Cond4,0.45,0,0.3,0.6,5,0,1,1,0,0.3,0.3,0,0.000899127,-0.00454727,-0.003440813,-0.001091889,0.001808624,0.000899127,-0.007578783,-0.011469377,-0.001091889,0.001808624,0.066012771,0.078049565,0.06303709,0.104051297,0.064699162,0.067527888,0.061281347,0.080989971,-0.019899319,-0.134807635,-0.027852534,-0.221634206,0.925237879,0.896239239,0.9157227,0.888083371,1,NA,0.074762121,0.952424105,NA,0.989578614,NA,NA,0.111916629,NA,0.048028999,1,0.4414
5,Cond5,0.45,0.6,0,0,5,0,1,1,0.3,0,0,0,-0.013126665,-0.001843175,0.001602353,0.000784951,-0.00402779,-0.021877776,-0.001843175,0.001602353,0.000784951,-0.00402779,0.064501516,0.08611765,0.07419003,0.103236258,0.062249811,0.078113056,0.072109299,0.08771693,-0.034909344,-0.092949518,-0.028045972,-0.150328267,0.91884058,0.914975845,0.918357488,0.911594203,1,0.983574879,NA,NA,0.085024155,NA,0.081642512,NA,0.088405797,NA,0.042995169,1,0.414
6,Cond6,0.45,0.6,0,0.6,5,0,1,1,0.3,0.3,0,0,-0.007953739,-0.001176449,-0.002115474,-0.002735611,0.001787684,-0.013256231,-0.001960748,-0.002115474,-0.002735611,0.001787684,0.062787529,0.088285333,0.070948779,0.10602606,0.060890079,0.07283621,0.070984296,0.08063086,-0.030220172,-0.174990821,0.000500606,-0.239518476,0.915377616,0.887625114,0.926751592,0.900363967,1,0.989990901,NA,0.943130118,NA,NA,0.073248408,NA,0.099636033,NA,0.047315742,1,0.4396
7,Cond7,0.45,0.6,0.3,0,5,0,1,1,0.3,0,0.3,0,-0.0084073,0.006581532,-0.00252465,-0.003422202,0.001233095,-0.014012167,0.006581532,-0.008415501,-0.019012234,0.001233095,0.062400529,0.088050626,0.071159711,0.109042516,0.06113924,0.076904088,0.067640065,0.084741534,-0.020212799,-0.12659238,-0.049461209,-0.222857862,0.924159855,0.906448683,0.922343324,0.897820163,0.993642144,0.98955495,NA,NA,0.093551317,0.972297911,NA,NA,0.102179837,0.92506812,NA,1,0.4404
8,Cond8,0.45,0.6,0.3,0.6,5,0,1,1,0.3,0.3,0.3,0,-0.011266795,-0.003241662,-0.002979056,-0.005840899,-0.002044775,-0.018777992,-0.00540277,-0.009930188,-0.032449437,-0.002044775,0.063410625,0.081718113,0.068704427,0.092178626,0.061011274,0.069435848,0.065180464,0.075706225,-0.037838315,-0.150300404,-0.051291643,-0.178700871,0.91717524,0.887532694,0.911072363,0.903225806,0.992589364,0.988230166,NA,0.947689625,NA,0.972537053,NA,NA,0.096774194,0.953792502,NA,1,0.4588
9,Cond9,0.9,0,0,0,5,0,1,1,0,0,0,0,0.000305955,0.000581218,0.003223524,0.0001338,0.002857063,0.000305955,0.000581218,0.003223524,0.0001338,0.002857063,0.067393788,0.080665572,0.067527266,0.100013429,0.065258728,0.072029426,0.066220865,0.084698675,-0.031680366,-0.107061117,-0.019346274,-0.153126969,0.912560386,0.899516908,0.922222222,0.903864734,1,NA,0.087439614,NA,0.100483092,NA,0.077777778,NA,0.096135266,NA,0,1,0.414
10,Cond10,0.9,0,0,0.6,5,0,1,1,0,0.3,0,0,0.003114892,-0.004396662,-0.001808338,-0.001050488,0.003026858,0.003114892,-0.00732777,-0.001808338,-0.001050488,0.003026858,0.067110674,0.074129014,0.067868553,0.096062552,0.065518421,0.06708901,0.06525247,0.080424086,-0.023725776,-0.094969628,-0.038546321,-0.162794609,0.918493804,0.899904671,0.918970448,0.905624404,1,NA,0.081506196,0.954242135,NA,NA,0.081029552,NA,0.094375596,NA,0.001429933,1,0.4196
