"Cond#","Rho","HetInd","a.ps","b.s","K","Nbar","postVar"
"Cond1","0.45","1","0","0","5","80","1"
"Cond2","0.45","1","0","0.3","5","80","1"
"Cond3","0.45","1","0.6","0","5","80","1"
"Cond4","0.45","1","0.6","0.3","5","80","1"
"Cond5","0.9","1","0","0","5","80","1"
"Cond6","0.9","1","0","0.3","5","80","1"
"Cond7","0.9","1","0.6","0","5","80","1"
"Cond8","0.9","1","0.6","0.3","5","80","1"
"Cond9","0.45","1","0","0","5","120","1"
"Cond10","0.45","1","0","0.3","5","120","1"
"Cond11","0.45","1","0.6","0","5","120","1"
"Cond12","0.45","1","0.6","0.3","5","120","1"
"Cond13","0.9","1","0","0","5","120","1"
"Cond14","0.9","1","0","0.3","5","120","1"
"Cond15","0.9","1","0.6","0","5","120","1"
"Cond16","0.9","1","0.6","0.3","5","120","1"
"Cond17","0.45","1","0","0","10","80","1"
"Cond18","0.45","1","0","0.3","10","80","1"
"Cond19","0.45","1","0.6","0","10","80","1"
"Cond20","0.45","1","0.6","0.3","10","80","1"
"Cond21","0.9","1","0","0","10","80","1"
"Cond22","0.9","1","0","0.3","10","80","1"
"Cond23","0.9","1","0.6","0","10","80","1"
"Cond24","0.9","1","0.6","0.3","10","80","1"
"Cond25","0.45","1","0","0","10","120","1"
"Cond26","0.45","1","0","0.3","10","120","1"
"Cond27","0.45","1","0.6","0","10","120","1"
"Cond28","0.45","1","0.6","0.3","10","120","1"
"Cond29","0.9","1","0","0","10","120","1"
"Cond30","0.9","1","0","0.3","10","120","1"
"Cond31","0.9","1","0.6","0","10","120","1"
"Cond32","0.9","1","0.6","0.3","10","120","1"
"Cond33","0.45","1","0","0","30","80","1"
"Cond34","0.45","1","0","0.3","30","80","1"
"Cond35","0.45","1","0.6","0","30","80","1"
"Cond36","0.45","1","0.6","0.3","30","80","1"
"Cond37","0.9","1","0","0","30","80","1"
"Cond38","0.9","1","0","0.3","30","80","1"
"Cond39","0.9","1","0.6","0","30","80","1"
"Cond40","0.9","1","0.6","0.3","30","80","1"
"Cond41","0.45","1","0","0","30","120","1"
"Cond42","0.45","1","0","0.3","30","120","1"
"Cond43","0.45","1","0.6","0","30","120","1"
"Cond44","0.45","1","0.6","0.3","30","120","1"
"Cond45","0.9","1","0","0","30","120","1"
"Cond46","0.9","1","0","0.3","30","120","1"
"Cond47","0.9","1","0.6","0","30","120","1"
"Cond48","0.9","1","0.6","0.3","30","120","1"
"Cond49","0.45","1","0","0","5","80","1.5"
"Cond50","0.45","1","0","0.3","5","80","1.5"
"Cond51","0.45","1","0.6","0","5","80","1.5"
"Cond52","0.45","1","0.6","0.3","5","80","1.5"
"Cond53","0.9","1","0","0","5","80","1.5"
"Cond54","0.9","1","0","0.3","5","80","1.5"
"Cond55","0.9","1","0.6","0","5","80","1.5"
"Cond56","0.9","1","0.6","0.3","5","80","1.5"
"Cond57","0.45","1","0","0","5","120","1.5"
"Cond58","0.45","1","0","0.3","5","120","1.5"
"Cond59","0.45","1","0.6","0","5","120","1.5"
