"","Cond.","Rho","HetInd","a.ps","b.s","K","Nbar","postVar","Method","a.para","cp.para","b.para","beta1.para","a.bias","cp.bias","b.bias","ab.bias","beta1.bias","a.Ebias","cp.Ebias","b.Ebias","ab.Ebias","beta1.Ebias","a.empSE","cp.empSE","b.empSE","beta1.empSE","a.meanSE","cp.meanSE","b.meanSE","beta1.meanSE","a.seRbias","cp.seRbias","b.seRbias","beta1.seRbias","a.CoverageRate","cp.CoverageRate","b.CoverageRate","beta1.CoverageRate","ab.CoverageRate","a.power","a.typeIerror","cp.power","cp.typeIerror","b.power","b.typeIerror","beta1.power","beta1.typeIerror","ab.power","ab.typeIerror","ConvergenceRate","posDefRate"
"1","Cond97","0.45","0","0","0","5","80","1","CSMMA","0","0.3","0","0.1","0.00136941281124009","-0.0051891494653477","0.00248978993478213","-0.000545022340401301","0.00050269984094783","0.00136941281124009","-0.00864858244224609","0.00248978993478213","-0.000545022340401301","0.00502699840947834","0.0569094394404688","0.0622924864883542","0.0548164466009465","0.0751829625977517","0.0583197156038267","0.0603178766232126","0.0570273401468641","0.070525188434494","0.0247810587702802","-0.0316990053930626","0.0403326680770201","-0.0619525222513244","0.929311969839774","0.941564561734213","0.952874646559849","0.953817153628652","1",NA,"0.0706880301602262","0.985862393967955",NA,NA,"0.0471253534401508","0.409048067860509",NA,NA,"0.000942507068803016","1","0.2122"
"2","Cond98","0.45","0","0","0.3","5","80","1","CSMMA","0","0.3","0.3","0.1","-0.00132832021776283","-0.0114984659468894","-0.00398770632519425","-0.000509099707076444","-0.00535567140000737","-0.00132832021776283","-0.0191641099114824","-0.0132923544173141","-0.000509099707076444","-0.0535567140000737","0.0534803156957445","0.0611130613782169","0.049413823082894","0.0766418570863897","0.057924705428718","0.0597634903702117","0.0533154763084075","0.069020264896283","0.0831032815561169","-0.0220831844710395","0.0789587403299732","-0.0994442525252974","0.953818827708703","0.94582593250444","0.950266429840142","0.950266429840142","1",NA,"0.0461811722912966","0.976909413854352",NA,"0.99911190053286",NA,"0.38898756660746",NA,NA,"0.0293072824156306","1","0.2252"
"3","Cond99","0.45","0","0.6","0","5","80","1","CSMMA","0.3","0.3","0","0.1","-0.015937815381908","-0.00266784375692556","0.000717739241967698","7.73076220345314e-06","0.000742724910868497","-0.0265630256365135","-0.00444640626154254","0.000717739241967698","7.73076220345314e-06","0.00742724910868492","0.0510721192368057","0.0672905345966374","0.0568762437096999","0.0852976163488429","0.0531454743195064","0.0634977587511007","0.0608512511014837","0.0712208098672614","0.0405966134494472","-0.0563641806127998","0.0698887115694996","-0.165031651341948","0.951438848920863","0.946942446043165","0.95863309352518","0.928956834532374","1","0.997302158273381",NA,"0.97841726618705",NA,NA,"0.0413669064748201","0.399280575539568",NA,NA,"0.0278776978417266","1","0.2224"
"4","Cond100","0.45","0","0.6","0.3","5","80","1","CSMMA","0.3","0.3","0.3","0.1","-0.00397003717428555","-0.00254676362050032","-0.00269120684537784","-0.00308695709149546","-0.00230976906076979","-0.00661672862380928","-0.00424460603416721","-0.00897068948459275","-0.0171497616194192","-0.023097690607698","0.0494288019252501","0.0581680580028779","0.0533687580652805","0.0677613306771688","0.053095793696098","0.0591302092333548","0.0541818713606647","0.0652366106570917","0.0741873488334478","0.0165408862442895","0.0152357544912252","-0.0372590088601631","0.960582690659812","0.943444730077121","0.93573264781491","0.958868894601542","0.998286203941731","0.999143101970865",NA,"0.988860325621251",NA,"0.997429305912596",NA,"0.426735218508997",NA,"0.995715509854327",NA,"1","0.2334"
"5","Cond101","0.9","0","0","0","5","80","1","CSMMA","0","0.3","0","0.1","0.0114414470276942","-0.0151332011039182","0.00343959683143037","-0.000231624637710363","0.00310127782229739","0.0114414470276942","-0.0252220018398637","0.00343959683143037","-0.000231624637710363","0.0310127782229738","0.0529820673806276","0.0628882039863748","0.054171583175116","0.0845820153653331","0.0585455400445846","0.0598255653815831","0.0573583634641659","0.07251458537907","0.105006711497091","-0.0486997308025395","0.0588275273171966","-0.142671346079194","0.954248366013072","0.930905695611578","0.945845004668534","0.941176470588235","1",NA,"0.0457516339869281","0.976657329598506",NA,NA,"0.0541549953314659","0.400560224089636",NA,NA,"0","1","0.2142"
"6","Cond102","0.9","0","0","0.3","5","80","1","CSMMA","0","0.3","0.3","0.1","-0.00165305744041879","-0.0100566505294367","-0.00329560162350945","-0.000853898141010437","-0.00220464078463592","-0.00165305744041879","-0.0167610842157279","-0.0109853387450315","-0.000853898141010437","-0.0220464078463592","0.0535660429284352","0.0604455591057138","0.0491194448204807","0.076825543161001","0.0585939142737267","0.0587982311818304","0.0533793719756192","0.0705274874217224","0.093863034684283","-0.0272530843995067","0.0867258815873728","-0.0819786685540251","0.956747404844291","0.942041522491349","0.95242214532872","0.945501730103806","1",NA,"0.0432525951557093","0.984429065743945",NA,"0.999134948096886",NA,"0.391868512110727",NA,NA,"0.0268166089965398","1","0.2312"
"7","Cond103","0.9","0","0.6","0","5","80","1","CSMMA","0.3","0.3","0","0.1","-0.0106570143788155","-0.00944318268120576","0.00229535833793196","0.00123756035327066","-0.00304749841315563","-0.0177616906313592","-0.0157386378020097","0.00229535833793196","0.00123756035327066","-0.0304749841315563","0.0490785880381767","0.0632881919019459","0.0595085888292783","0.078069661819887","0.0532357477196359","0.0633579525770202","0.0612279813663559","0.0727290899238961","0.0847041418189413","0.00110226999662793","0.0288931828313101","-0.0684077754597168","0.961672473867596","0.952961672473868","0.939895470383275","0.943379790940767","1","0.999128919860627",NA,"0.975609756097561",NA,NA,"0.0601045296167247","0.372822299651568",NA,NA,"0.0461672473867596","1","0.2296"
"8","Cond104","0.9","0","0.6","0.3","5","80","1","CSMMA","0.3","0.3","0.3","0.1","-0.0095534770479995","-0.00973340433174694","-0.00164273239495117","-0.00391217549860962","0.00117508484329375","-0.0159224617466658","-0.0162223405529116","-0.00547577464983721","-0.021734308325609","0.0117508484329375","0.0495115593577744","0.060053203758141","0.0518903502594731","0.0773216394354884","0.0535806495574406","0.0593505423267855","0.0548645631717635","0.0650091874302452","0.0821846504623827","-0.0117006485480007","0.0573172641429108","-0.159236820314911","0.956663941128373","0.937040065412919","0.942763695829926","0.945216680294358","0.998364677023712","0.999182338511856",NA,"0.98119378577269",NA,"0.999182338511856",NA,"0.439084219133279",NA,"0.99591169255928",NA,"1","0.2446"
"9","Cond105","0.45","0","0","0","5","120","1","CSMMA","0","0.3","0","0.1","0.00286800720732266","-0.00699403517231103","0.00245237738449615","-0.000217588706909092","-0.00272813583096089","0.00286800720732266","-0.011656725287185","0.00245237738449615","-0.000217588706909092","-0.0272813583096089","0.0470007187786209","0.0528736680833439","0.0455108612270802","0.0726300338549035","0.0487397427642174","0.0501704338071724","0.0480652886194669","0.0612333335349834","0.0369999444856886","-0.051126285997605","0.0561278631850365","-0.15691442940379","0.940191387559809","0.932216905901116","0.953748006379585","0.939393939393939","1",NA,"0.0598086124401914","0.990430622009569",NA,NA,"0.0462519936204147","0.503189792663477",NA,NA,"0","1","0.2508"
"10","Cond106","0.45","0","0","0.3","5","120","1","CSMMA","0","0.3","0.3","0.1","0.00210021100605618","-0.00684965852264862","-0.00213703365048166","0.0002486702483397","-0.00173705758940822","0.00210021100605618","-0.0114160975377477","-0.0071234455016056","0.0002486702483397","-0.0173705758940823","0.045711943581948","0.0513297596423211","0.042402566149509","0.0644361339913411","0.0484437200656184","0.0488594218149812","0.0449872546258753","0.0573632994736484","0.0597606723672367","-0.0481268146306124","0.0609559446768587","-0.109765035230747","0.950194552529183","0.93852140077821","0.949416342412451","0.949416342412451","1",NA,"0.0498054474708171","0.992996108949416",NA,"1",NA,"0.515953307392996",NA,NA,"0.0373540856031128","1","0.257"
