"","Cond.","Rho","HetInd","a.ps","b.s","K","Nbar","postVar","Method","a.para","cp.para","b.para","beta1.para","a.bias","cp.bias","b.bias","ab.bias","beta1.bias","beta2.bias","a.Ebias","cp.Ebias","b.Ebias","ab.Ebias","beta1.Ebias","beta2.Ebias","a.empSE","cp.empSE","b.empSE","beta1.empSE","beta2.empSE","a.meanSE","cp.meanSE","b.meanSE","beta1.meanSE","beta2.meanSE","a.seRbias","cp.seRbias","b.seRbias","beta1.seRbias","beta2.seRbias","a.CoverageRate","cp.CoverageRate","b.CoverageRate","beta1.CoverageRate","beta2.CoverageRate","ab.CoverageRate","a.power","a.typeIerror","cp.power","cp.typeIerror","b.power","b.typeIerror","beta1.power","beta1.typeIerror","beta2.power","beta2.typeIerror","ab.power","ab.typeIerror","ConvergenceRate","posDefRate"
"1","Cond1","0.45","1","0","0","5","80","1","CSMMA","0","0.3","0","0.1","0.0157420634530157","-0.00609844221271617","0.00284311904854832","-0.0002345449537471","0.00130260430855021","0.00259516139596673","0.0157420634530157","-0.0101640703545269","0.00284311904854832","-0.0002345449537471","0.0130260430855021","0.0259516139596673","0.064047851795958","0.0525371289593389","0.0640235872185015","0.0951171605896872","0.0844934765408016","0.0652449837884611","0.0548760094356766","0.0633676562194089","0.0784664552248002","0.0770741090862242","0.0186912122566868","0.0445186199296852","-0.0102451460092993","-0.175054693197942","-0.0878099441321321","0.95752009184845","0.949483352468427","0.954075774971297","0.944890929965557","0.95752009184845","1",NA,"0.0424799081515499","0.996555683122847",NA,NA,"0.0459242250287026","0.368541905855339",NA,"0.371986222732491",NA,NA,"0","1","0.1742"
"2","Cond2","0.45","1","0","0.3","5","80","1","CSMMA","0","0.3","0.3","0.1","0.00428963616457368","-0.00841250989133938","-0.00415586028235342","0.000358728816865259","0.000105304273295455","-0.000465172392460631","0.00428963616457368","-0.0140208498188989","-0.0138528676078448","0.000358728816865259","0.00105304273295456","-0.00465172392460633","0.064289823655158","0.0487153129516352","0.0607726592393995","0.0825391166350323","0.0848504582083424","0.0663583242681939","0.0533835284768392","0.0604135854651927","0.0817911959467851","0.0747315158525861","0.0321746194876982","0.0958264505010688","-0.0059084755990731","-0.00906140892631967","-0.119256189883031","0.952879581151832","0.953926701570681","0.94869109947644","0.956020942408377","0.952879581151832","1",NA,"0.0471204188481675","0.997905759162304",NA,"0.978010471204188",NA,"0.303664921465969",NA,"0.389528795811518",NA,NA,"0.031413612565445","1","0.191"
"3","Cond3","0.45","1","0.6","0","5","80","1","CSMMA","0.3","0.3","0","0.1","-0.0121446490292798","-0.00642057247004364","-4.9485857450239e-05","-1.08551989804094e-05","0.00217352849547543","-0.00568857409538079","-0.0202410817154663","-0.0107009541167395","-4.9485857450239e-05","-1.08551989804094e-05","0.0217352849547543","-0.0568857409538079","0.0607378006282548","0.0537234716368066","0.0670081869929929","0.0793470272139392","0.0830561839225934","0.0608528700990487","0.058484772558025","0.0680464060357413","0.072726491774971","0.0784904396492928","0.00189452811270215","0.0886260842077885","0.0154939133460961","-0.0834377250343301","-0.0549717559568576","0.941037735849057","0.952830188679245","0.942216981132076","0.942216981132076","0.951650943396226","1","0.979952830188679",NA,"0.996462264150943",NA,NA,"0.0577830188679245","0.392688679245283",NA,"0.354952830188679",NA,NA,"0.035377358490566","1","0.1696"
"4","Cond4","0.45","1","0.6","0.3","5","80","1","CSMMA","0.3","0.3","0.3","0.1","-0.0140523920482957","-0.00540560716108371","-0.00204552630829925","-0.00577038206313329","-0.000764831814227806","-0.00294187080631683","-0.0234206534138261","-0.0090093452684729","-0.00681842102766413","-0.0320576781285183","-0.00764831814227804","-0.0294187080631682","0.0616956802234103","0.0523921206151292","0.0618136062354893","0.0765333317574258","0.0741647250819921","0.0594231594339862","0.0540902631733016","0.0591243721406275","0.0716786953232128","0.0659471270388426","-0.0368343582758943","0.0324121745452299","-0.0435055363800765","-0.0634316620319093","-0.110801975387417","0.930997876857749","0.947983014861996","0.934182590233546","0.953290870488323","0.95859872611465","0.994692144373673","0.973460721868365",NA,"0.995753715498938",NA,"0.98619957537155",NA,"0.395966029723992",NA,"0.432059447983015",NA,"0.949044585987261",NA,"1","0.1884"
"5","Cond5","0.9","1","0","0","5","80","1","CSMMA","0","0.3","0","0.1","0.0117495068292228","-0.0105741306502189","0.00331826902341453","-0.000574544989782386","-0.00113839670527677","0.00241818211177922","0.0117495068292228","-0.0176235510836983","0.00331826902341453","-0.000574544989782386","-0.0113839670527677","0.0241818211177922","0.0666920609528628","0.0504885705302236","0.0646086641770755","0.0807748701338797","0.078027436205878","0.0665794484476511","0.0548083051496952","0.0644481149818892","0.0778199076408571","0.0765648402116316","-0.00168854438748514","0.0855586635570468","-0.00248494837699009","-0.0365826956840036","-0.0187446373399642","0.950346420323326","0.956120092378753","0.9364896073903","0.957274826789838","0.94919168591224","1",NA,"0.0496535796766744","0.997690531177829",NA,NA,"0.0635103926096998","0.351039260969977",NA,"0.391454965357968",NA,NA,"0","1","0.1732"
"6","Cond6","0.9","1","0","0.3","5","80","1","CSMMA","0","0.3","0.3","0.1","0.000199730670476674","-0.00703749233984873","-0.00614848527381027","-0.000350027138663468","-0.00565993980448729","-0.00145453036654649","0.000199730670476674","-0.0117291538997479","-0.020494950912701","-0.000350027138663468","-0.0565993980448729","-0.0145453036654648","0.065701743517471","0.0497327320728693","0.058695056343762","0.0819089329242282","0.0760758344487502","0.0641703142914707","0.0526181761580057","0.0584906469854101","0.0775388392932446","0.0705815704791228","-0.0233088064945042","0.0580190141355716","-0.00348256516110544","-0.0533530773136341","-0.072220883404555","0.942424242424242","0.945454545454545","0.948484848484848","0.950505050505051","0.951515151515152","1",NA,"0.0575757575757576","1",NA,"0.980808080808081",NA,"0.323232323232323",NA,"0.398989898989899",NA,NA,"0.0383838383838384","1","0.198"
"7","Cond7","0.9","1","0.6","0","5","80","1","CSMMA","0.3","0.3","0","0.1","-0.00835888311870953","-0.0161303116678683","0.00135011806234726","0.00107707288921421","0.00196214171389337","-0.00186697267462744","-0.0139314718645158","-0.0268838527797804","0.00135011806234726","0.00107707288921421","0.0196214171389338","-0.0186697267462745","0.0607491300176071","0.054791004814648","0.0686995951644891","0.0778480147469912","0.0847327414328475","0.0607246988741477","0.0583927854905821","0.0671813972733215","0.0733411018526615","0.0775754124225064","-0.000402164499348626","0.0657367151436355","-0.0220990806064068","-0.0578937421715554","-0.084469461147005","0.957470010905125","0.955288985823337","0.942202835332606","0.941112322791712","0.945474372955289","1","0.985823336968375",NA,"0.995637949836423",NA,NA,"0.0577971646673937","0.399127589967285",NA,"0.358778625954198",NA,NA,"0.0338058887677208","1","0.1834"
"8","Cond8","0.9","1","0.6","0.3","5","80","1","CSMMA","0.3","0.3","0.3","0.1","-0.0100779068947721","-0.00313942578291007","-0.00632094433671966","-0.00697175231559678","0.00103935228967458","0.00297524807539218","-0.016796511491287","-0.00523237630485007","-0.0210698144557322","-0.0387319573088711","0.0103935228967458","0.0297524807539218","0.0606263451775551","0.0505587243605886","0.0591282118260036","0.0785224525930985","0.0700158568774559","0.0603613920575128","0.0542114481875934","0.059610379542948","0.0730175464753094","0.0665492272864102","-0.00437026377338569","0.0722471516676984","0.00815461354324867","-0.0701061408042785","-0.0495120640616191","0.959227467811159","0.956008583690987","0.945278969957081","0.938841201716738","0.940987124463519","0.996781115879828","0.987124463519313",NA,"0.998927038626609",NA,"0.987124463519313",NA,"0.378755364806867",NA,"0.432403433476395",NA,"0.96244635193133",NA,"1","0.1864"
"9","Cond9","0.45","1","0","0","5","120","1","CSMMA","0","0.3","0","0.1","-0.00310893296737507","-0.00527774746514569","0.00104411802430204","-0.00063060026541171","-0.000559516388534322","-0.00185676547056626","-0.00310893296737507","-0.00879624577524274","0.00104411802430204","-0.00063060026541171","-0.00559516388534326","-0.0185676547056626","0.0563269925177559","0.0439540929862354","0.0536557635863943","0.0720958917693937","0.0708141308197012","0.054102820931175","0.0456513435672582","0.0530056539583511","0.0641565510008248","0.0638377773257177","-0.0394867804433152","0.0386141645910963","-0.0121163055856335","-0.11012195804393","-0.098516403622123","0.946175637393768","0.953729933899906","0.933899905571294","0.941454202077432","0.952785646836638","1",NA,"0.0538243626062323","1",NA,NA,"0.0661000944287063","0.469310670443815",NA,"0.471199244570349",NA,NA,"0","1","0.2118"
"10","Cond10","0.45","1","0","0.3","5","120","1","CSMMA","0","0.3","0.3","0.1","-0.000938800320179486","-0.0123380902991604","-0.00177734604213539","-0.00116486984115731","-0.00233135616212089","-0.00164201311335513","-0.000938800320179486","-0.0205634838319341","-0.00592448680711788","-0.00116486984115731","-0.0233135616212089","-0.0164201311335513","0.0552872030983534","0.0414884443925935","0.0511858004984488","0.073231557263295","0.075046646439789","0.0544556030122965","0.0442724714304185","0.049405026024318","0.0669521903896978","0.0608527539929403","-0.0150414569638755","0.0671036737719184","-0.0347904000091729","-0.0857467341711792","-0.189134266755499","0.94150417827298","0.947075208913649","0.930362116991644","0.94150417827298","0.930362116991644","1",NA,"0.0584958217270195","1",NA,"0.993500464252553",NA,"0.416898792943361",NA,"0.476323119777159",NA,NA,"0.0436397400185701","1","0.2154"
