"Cond#","Rho","HetInd","a.ps","b.s","K","Nbar","postVar","missingRate"
"Cond1","0.45","1","0","0","5","80","1","0.4"
"Cond2","0.45","1","0","0.3","5","80","1","0.4"
"Cond3","0.45","1","0.6","0","5","80","1","0.4"
"Cond4","0.45","1","0.6","0.3","5","80","1","0.4"
"Cond5","0.9","1","0","0","5","80","1","0.4"
"Cond6","0.9","1","0","0.3","5","80","1","0.4"
"Cond7","0.9","1","0.6","0","5","80","1","0.4"
"Cond8","0.9","1","0.6","0.3","5","80","1","0.4"
"Cond9","0.45","1","0","0","5","120","1","0.4"
"Cond10","0.45","1","0","0.3","5","120","1","0.4"
"Cond11","0.45","1","0.6","0","5","120","1","0.4"
"Cond12","0.45","1","0.6","0.3","5","120","1","0.4"
"Cond13","0.9","1","0","0","5","120","1","0.4"
"Cond14","0.9","1","0","0.3","5","120","1","0.4"
"Cond15","0.9","1","0.6","0","5","120","1","0.4"
"Cond16","0.9","1","0.6","0.3","5","120","1","0.4"
"Cond17","0.45","1","0","0","10","80","1","0.4"
"Cond18","0.45","1","0","0.3","10","80","1","0.4"
"Cond19","0.45","1","0.6","0","10","80","1","0.4"
"Cond20","0.45","1","0.6","0.3","10","80","1","0.4"
"Cond21","0.9","1","0","0","10","80","1","0.4"
"Cond22","0.9","1","0","0.3","10","80","1","0.4"
"Cond23","0.9","1","0.6","0","10","80","1","0.4"
"Cond24","0.9","1","0.6","0.3","10","80","1","0.4"
"Cond25","0.45","1","0","0","10","120","1","0.4"
"Cond26","0.45","1","0","0.3","10","120","1","0.4"
"Cond27","0.45","1","0.6","0","10","120","1","0.4"
"Cond28","0.45","1","0.6","0.3","10","120","1","0.4"
"Cond29","0.9","1","0","0","10","120","1","0.4"
"Cond30","0.9","1","0","0.3","10","120","1","0.4"
"Cond31","0.9","1","0.6","0","10","120","1","0.4"
"Cond32","0.9","1","0.6","0.3","10","120","1","0.4"
"Cond33","0.45","1","0","0","30","80","1","0.4"
"Cond34","0.45","1","0","0.3","30","80","1","0.4"
"Cond35","0.45","1","0.6","0","30","80","1","0.4"
"Cond36","0.45","1","0.6","0.3","30","80","1","0.4"
"Cond37","0.9","1","0","0","30","80","1","0.4"
"Cond38","0.9","1","0","0.3","30","80","1","0.4"
"Cond39","0.9","1","0.6","0","30","80","1","0.4"
"Cond40","0.9","1","0.6","0.3","30","80","1","0.4"
"Cond41","0.45","1","0","0","30","120","1","0.4"
"Cond42","0.45","1","0","0.3","30","120","1","0.4"
"Cond43","0.45","1","0.6","0","30","120","1","0.4"
"Cond44","0.45","1","0.6","0.3","30","120","1","0.4"
"Cond45","0.9","1","0","0","30","120","1","0.4"
"Cond46","0.9","1","0","0.3","30","120","1","0.4"
"Cond47","0.9","1","0.6","0","30","120","1","0.4"
"Cond48","0.9","1","0.6","0.3","30","120","1","0.4"
"Cond49","0.45","1","0","0","5","80","1.5","0.4"
"Cond50","0.45","1","0","0.3","5","80","1.5","0.4"
"Cond51","0.45","1","0.6","0","5","80","1.5","0.4"
"Cond52","0.45","1","0.6","0.3","5","80","1.5","0.4"
"Cond53","0.9","1","0","0","5","80","1.5","0.4"
"Cond54","0.9","1","0","0.3","5","80","1.5","0.4"
"Cond55","0.9","1","0.6","0","5","80","1.5","0.4"
"Cond56","0.9","1","0.6","0.3","5","80","1.5","0.4"
"Cond57","0.45","1","0","0","5","120","1.5","0.4"
"Cond58","0.45","1","0","0.3","5","120","1.5","0.4"
"Cond59","0.45","1","0.6","0","5","120","1.5","0.4"
"Cond60","0.45","1","0.6","0.3","5","120","1.5","0.4"
"Cond61","0.9","1","0","0","5","120","1.5","0.4"
"Cond62","0.9","1","0","0.3","5","120","1.5","0.4"
"Cond63","0.9","1","0.6","0","5","120","1.5","0.4"
"Cond64","0.9","1","0.6","0.3","5","120","1.5","0.4"
"Cond65","0.45","1","0","0","10","80","1.5","0.4"
"Cond66","0.45","1","0","0.3","10","80","1.5","0.4"
"Cond67","0.45","1","0.6","0","10","80","1.5","0.4"
"Cond68","0.45","1","0.6","0.3","10","80","1.5","0.4"
"Cond69","0.9","1","0","0","10","80","1.5","0.4"
"Cond70","0.9","1","0","0.3","10","80","1.5","0.4"
"Cond71","0.9","1","0.6","0","10","80","1.5","0.4"
"Cond72","0.9","1","0.6","0.3","10","80","1.5","0.4"
"Cond73","0.45","1","0","0","10","120","1.5","0.4"
"Cond74","0.45","1","0","0.3","10","120","1.5","0.4"
"Cond75","0.45","1","0.6","0","10","120","1.5","0.4"
"Cond76","0.45","1","0.6","0.3","10","120","1.5","0.4"
"Cond77","0.9","1","0","0","10","120","1.5","0.4"
"Cond78","0.9","1","0","0.3","10","120","1.5","0.4"
"Cond79","0.9","1","0.6","0","10","120","1.5","0.4"
"Cond80","0.9","1","0.6","0.3","10","120","1.5","0.4"
"Cond81","0.45","1","0","0","30","80","1.5","0.4"
"Cond82","0.45","1","0","0.3","30","80","1.5","0.4"
"Cond83","0.45","1","0.6","0","30","80","1.5","0.4"
"Cond84","0.45","1","0.6","0.3","30","80","1.5","0.4"
"Cond85","0.9","1","0","0","30","80","1.5","0.4"
"Cond86","0.9","1","0","0.3","30","80","1.5","0.4"
"Cond87","0.9","1","0.6","0","30","80","1.5","0.4"
"Cond88","0.9","1","0.6","0.3","30","80","1.5","0.4"
"Cond89","0.45","1","0","0","30","120","1.5","0.4"
"Cond90","0.45","1","0","0.3","30","120","1.5","0.4"
"Cond91","0.45","1","0.6","0","30","120","1.5","0.4"
"Cond92","0.45","1","0.6","0.3","30","120","1.5","0.4"
"Cond93","0.9","1","0","0","30","120","1.5","0.4"
"Cond94","0.9","1","0","0.3","30","120","1.5","0.4"
"Cond95","0.9","1","0.6","0","30","120","1.5","0.4"
"Cond96","0.9","1","0.6","0.3","30","120","1.5","0.4"
"Cond97","0.45","0","0","0","5","80","1","0.4"
"Cond98","0.45","0","0","0.3","5","80","1","0.4"
"Cond99","0.45","0","0.6","0","5","80","1","0.4"
"Cond100","0.45","0","0.6","0.3","5","80","1","0.4"
"Cond101","0.9","0","0","0","5","80","1","0.4"
"Cond102","0.9","0","0","0.3","5","80","1","0.4"
"Cond103","0.9","0","0.6","0","5","80","1","0.4"
"Cond104","0.9","0","0.6","0.3","5","80","1","0.4"
"Cond105","0.45","0","0","0","5","120","1","0.4"
"Cond106","0.45","0","0","0.3","5","120","1","0.4"
"Cond107","0.45","0","0.6","0","5","120","1","0.4"
