,Cond.,Rho,HetInd,a.p.cs,b.s,K,Nbar,postVar,missingRate,Method,a.para,cp.para,b.para,beta1.para,a.bias,cp.bias,b.bias,ab.bias,beta1.bias,a.Ebias,cp.Ebias,b.Ebias,ab.Ebias,beta1.Ebias,a.empSE,cp.empSE,b.empSE,beta1.empSE,a.meanSE,cp.meanSE,b.meanSE,beta1.meanSE,a.seRbias,cp.seRbias,b.seRbias,beta1.seRbias,a.CoverageRate,cp.CoverageRate,b.CoverageRate,beta1.CoverageRate,ab.CoverageRate,a.power,a.typeIerror,cp.power,cp.typeIerror,b.power,b.typeIerror,beta1.power,beta1.typeIerror,ab.power,ab.typeIerror,ConvergenceRate,posDefRate
1,Cond97,0.45,0,0,0,5,80,1,0.4,CSMMA,0,0.3,0,0.1,0.009454067,-0.011173159,0.015087732,-0.001240576,0.002352137,0.009454067,-0.018621931,0.015087732,-0.001240576,0.023521374,0.065123093,0.054674714,0.118456828,0.07469309,0.061365679,0.113155754,0.070005759,0.020686457,0.14582816,0.122377688,-0.04475111,-0.062754547,0.972631579,0.96,0.936842105,0.964210526,1,NA,NA,0.983157895,NA,NA,NA,0.393684211,NA,NA,NA,1,0.095
2,Cond98,0.45,0,0,0.3,5,80,1,0.4,CSMMA,0,0.3,0.3,0.1,0.009095973,-0.015705001,-0.015007198,0.001561741,-0.003142898,0.009095973,-0.026175002,-0.050023993,0.001561741,-0.031428978,0.070050176,0.062150307,0.117112075,0.072290669,0.062626603,0.106490257,0.072930942,0.046838983,0.093328727,0.007663604,-0.090697888,0.008856935,0.968299712,0.962536023,0.922190202,0.948126801,1,NA,NA,0.974063401,NA,0.723342939,NA,0.360230548,NA,NA,NA,1,0.0694
3,Cond99,0.45,0,0.6,0,5,80,1,0.4,CSMMA,0.3,0.3,0,0.1,-0.041036754,-0.0222953,0.009592513,0.004913103,-0.009941816,-0.06839459,-0.037158833,0.009592513,0.004913103,-0.09941816,0.068187003,0.079221727,0.137819493,0.07785597,0.075842515,0.122038627,0.072694797,0.072416241,0.072595539,-0.042655108,-0.114503876,-0.066291289,0.944029851,0.947761194,0.888059701,0.96641791,1,0.947761194,NA,0.929104478,NA,NA,NA,0.369402985,NA,NA,NA,1,0.0536
4,Cond100,0.45,0,0.6,0.3,5,80,1,0.4,CSMMA,0.3,0.3,0.3,0.1,-0.021403641,0.003867595,-0.002469871,-0.009175902,-0.002098236,-0.035672735,0.006445992,-0.008232902,-0.050977231,-0.020982364,0.066092275,0.074115056,0.111367161,0.075617745,0.068066259,0.104900068,0.067553335,0.075115438,0.090247498,-0.081613613,-0.058070022,-0.106647061,0.960474308,0.913043478,0.928853755,0.95256917,0.996047431,0.95256917,NA,0.968379447,NA,0.782608696,NA,0.466403162,NA,0.691699605,NA,1,0.0506
5,Cond101,0.9,0,0,0,5,80,1,0.4,CSMMA,0,0.3,0,0.1,0.010052303,-0.009018553,0.01725464,0.000623695,0.001013107,0.010052303,-0.015030922,0.01725464,0.000623695,0.010131074,0.06851948,0.06040136,0.113174707,0.091790865,0.063067475,0.113659156,0.076828687,0.020958794,0.125210291,0.044139987,0.004280543,-0.163002904,0.964285714,0.966517857,0.939732143,0.950892857,1,NA,NA,0.982142857,NA,NA,NA,0.366071429,NA,NA,NA,1,0.0896
6,Cond102,0.9,0,0,0.3,5,80,1,0.4,CSMMA,0,0.3,0.3,0.1,0.013112432,0.001664054,-0.032231317,0.003671291,-0.001626099,0.013112432,0.002773424,-0.107437724,0.003671291,-0.01626099,0.063878301,0.067081267,0.114534896,0.077965178,0.063221768,0.105921941,0.075963964,0.043480027,0.185684901,-0.057534673,-0.075199398,-0.025668046,0.971128609,0.947506562,0.916010499,0.950131234,1,NA,NA,0.973753281,NA,0.708661417,NA,0.37007874,NA,NA,NA,1,0.0762
7,Cond103,0.9,0,0.6,0,5,80,1,0.4,CSMMA,0.3,0.3,0,0.1,-0.048300278,-0.023255331,0.004180248,0.001824877,-0.004189411,-0.080500464,-0.038758885,0.004180248,0.001824877,-0.041894112,0.063342109,0.072785519,0.124222058,0.081145732,0.074924856,0.120542845,0.075269119,0.069812873,0.11036567,0.029392347,-0.029618034,-0.072420487,0.932539683,0.96031746,0.944444444,0.952380952,1,0.964285714,NA,0.968253968,NA,NA,NA,0.365079365,NA,NA,NA,1,0.0504
8,Cond104,0.9,0,0.6,0.3,5,80,1,0.4,CSMMA,0.3,0.3,0.3,0.1,-0.033567891,-0.000606877,-0.005837004,-0.013340136,0.00115798,-0.055946485,-0.001011462,-0.019456682,-0.074111868,0.011579801,0.067328491,0.069827991,0.110729865,0.064739896,0.067653478,0.103551186,0.068347846,0.072542467,0.067030536,-0.031141005,-0.064830557,0.055729936,0.956521739,0.948616601,0.928853755,0.968379447,0.996047431,0.960474308,NA,0.972332016,NA,0.782608696,NA,0.363636364,NA,0.671936759,NA,1,0.0506
9,Cond105,0.45,0,0,0,5,120,1,0.4,CSMMA,0,0.3,0,0.1,0.011245001,-0.015631371,0.007170238,-0.001301011,0.000299548,0.011245001,-0.026052285,0.007170238,-0.001301011,0.002995482,0.062556367,0.057941304,0.100153212,0.074135891,0.053144398,0.093435955,0.064840152,0.015939771,0.033681023,-0.082789059,-0.067069809,-0.125387836,0.943127962,0.947867299,0.921800948,0.94549763,1,NA,NA,0.978672986,NA,NA,NA,0.485781991,NA,NA,NA,1,0.0844
10,Cond106,0.45,0,0,0.3,5,120,1,0.4,CSMMA,0,0.3,0.3,0.1,0.002647362,-0.001772228,-0.021169081,-0.000442573,-0.003008749,0.002647362,-0.002953713,-0.070563603,-0.000442573,-0.030087492,0.054187288,0.047242437,0.102481036,0.061222938,0.051227881,0.086595578,0.05910748,0.038103628,0.203161173,0.084361532,-0.155008753,-0.034553365,0.976945245,0.979827089,0.890489914,0.971181556,1,NA,NA,0.997118156,NA,0.858789625,NA,0.510086455,NA,NA,NA,1,0.0694
