,Cond.,Rho,HetInd,a.p.cs,b.s,K,Nbar,postVar,missingRate,Method,a.para,cp.para,b.para,beta1.para,a.bias,cp.bias,b.bias,ab.bias,beta1.bias,beta2.bias,a.Ebias,cp.Ebias,b.Ebias,ab.Ebias,beta1.Ebias,beta2.Ebias,a.empSE,cp.empSE,b.empSE,beta1.empSE,beta2.empSE,a.meanSE,cp.meanSE,b.meanSE,beta1.meanSE,beta2.meanSE,a.seRbias,cp.seRbias,b.seRbias,beta1.seRbias,beta2.seRbias,a.CoverageRate,cp.CoverageRate,b.CoverageRate,beta1.CoverageRate,beta2.CoverageRate,ab.CoverageRate,a.power,a.typeIerror,cp.power,cp.typeIerror,b.power,b.typeIerror,beta1.power,beta1.typeIerror,beta2.power,beta2.typeIerror,ab.power,ab.typeIerror,ConvergenceRate,posDefRate
1,Cond1,0.45,1,0,0,5,80,1,0.4,CSMMA,0,0.3,0,0.1,0.02405364,-0.019190274,0.160902633,-0.011733116,-0.005790843,0.240056723,0.02405364,-0.03198379,0.160902633,-0.011733116,-0.057908433,2.400567228,0.116342297,0.081247838,1.574120899,0.194636745,2.144209498,0.093921004,0.076494408,1.631896689,0.117077983,2.272623954,-0.192718329,-0.058505314,0.036703528,-0.398479548,0.05988895,0.941860465,0.926356589,0.976744186,0.872093023,0.988372093,1,NA,NA,0.934108527,NA,NA,NA,0.228682171,NA,0,NA,NA,NA,1,0.0516
2,Cond2,0.45,1,0,0.3,5,80,1,0.4,CSMMA,0,0.3,0.3,0.1,-0.016589886,-0.024456157,-0.118027265,-0.002787067,-0.007958834,0.151622242,-0.016589886,-0.040760262,-0.393424217,-0.002787067,-0.079588344,1.516222421,0.093742316,0.077774008,1.527601205,0.147743653,2.43964157,0.085147325,0.074475791,1.559750648,0.106767954,3.001988134,-0.091687425,-0.042407697,0.021045704,-0.277343209,0.230503764,0.954773869,0.944723618,0.969849246,0.854271357,0.989949749,1,NA,NA,0.929648241,NA,0.165829146,NA,0.236180905,NA,0.005025126,NA,NA,NA,1,0.0398
3,Cond3,0.45,1,0.6,0,5,80,1,0.4,CSMMA,0.3,0.3,0,0.1,-0.067270193,-0.052612496,0.044982364,0.015352954,0.002141978,-0.0052404,-0.112116989,-0.087687494,0.044982364,0.015352954,0.021419775,-0.052403998,0.106202713,0.095840641,0.499357383,0.159361819,0.694952179,0.096696479,0.08667667,0.392300035,0.127541419,0.505309773,-0.089510267,-0.09561675,-0.214390238,-0.199673927,-0.272885547,0.917127072,0.939226519,0.950276243,0.906077348,0.961325967,1,0.79558011,NA,0.878453039,NA,NA,NA,0.348066298,NA,0.077348066,NA,NA,NA,1,0.0362
4,Cond4,0.45,1,0.6,0.3,5,80,1,0.4,CSMMA,0.3,0.3,0.3,0.1,-0.016706675,0.003843018,-0.011636899,-0.018891717,0.013358315,0.040017131,-0.027844458,0.006405029,-0.038789662,-0.104953983,0.133583152,0.400171313,0.088037537,0.077749772,0.352100718,0.100382568,0.638224102,0.084661488,0.077344723,0.274910733,0.099252206,0.380924789,-0.038347838,-0.005209657,-0.219227002,-0.011260539,-0.403148851,0.915662651,0.93373494,0.939759036,0.939759036,0.975903614,0.993975904,0.855421687,NA,0.93373494,NA,0.343373494,NA,0.373493976,NA,0.048192771,NA,0.295180723,NA,1,0.0332
5,Cond5,0.9,1,0,0,5,80,1,0.4,CSMMA,0,0.3,0,0.1,-0.003359706,-0.014749187,0.196961779,-0.006606055,-0.013326275,0.155581402,-0.003359706,-0.024581979,0.196961779,-0.006606055,-0.133262752,1.555814017,0.166169218,0.082162241,1.402031693,0.210041535,2.385097229,0.103539938,0.07581819,1.699834886,0.123155972,3.325120851,-0.37690061,-0.077213696,0.212408317,-0.413658961,0.394123816,0.945098039,0.941176471,0.956862745,0.874509804,0.992156863,1,NA,NA,0.941176471,NA,NA,NA,0.239215686,NA,0.007843137,NA,NA,NA,1,0.051
6,Cond6,0.9,1,0,0.3,5,80,1,0.4,CSMMA,0,0.3,0.3,0.1,0.030248316,-0.007434258,0.467259984,0.07164239,-0.006481123,0.365176873,0.030248316,-0.012390431,1.55753328,0.07164239,-0.064811228,3.651768729,0.093962724,0.075840855,2.331459116,0.154804588,2.722579921,0.087581412,0.075222851,1.908739583,0.106897914,3.279426165,-0.067913223,-0.008148689,-0.18131115,-0.309465467,0.204528888,0.925742574,0.945544554,0.97029703,0.876237624,0.98019802,1,NA,NA,0.95049505,NA,0.212871287,NA,0.198019802,NA,0.004950495,NA,NA,NA,1,0.0404
7,Cond7,0.9,1,0.6,0,5,80,1,0.4,CSMMA,0.3,0.3,0,0.1,-0.044664655,-0.012810621,0.000202707,0.000646028,-0.013899246,-0.005035521,-0.074441092,-0.021351035,0.000202707,0.000646028,-0.138992455,-0.050355213,0.10778296,0.102753133,0.337664394,0.134985765,0.442595367,0.0936908,0.090773321,0.307555455,0.115472533,0.357255056,-0.130745715,-0.116588286,-0.089168239,-0.144557701,-0.192817904,0.912568306,0.945355191,0.967213115,0.901639344,0.989071038,1,0.841530055,NA,0.890710383,NA,NA,NA,0.284153005,NA,0.043715847,NA,NA,NA,1,0.0366
8,Cond8,0.9,1,0.6,0.3,5,80,1,0.4,CSMMA,0.3,0.3,0.3,0.1,0.002322332,-0.012994744,0.010570609,-0.002472009,0.01351058,0.02440353,0.003870554,-0.021657906,0.035235365,-0.013733383,0.135105797,0.244035299,0.104243909,0.077197523,0.358261432,0.160577157,0.515422985,0.108511991,0.079730514,0.251640143,0.138539684,0.330944133,0.040943227,0.032811817,-0.297607498,-0.137239156,-0.357917394,0.960199005,0.960199005,0.970149254,0.910447761,0.975124378,0.995024876,0.845771144,NA,0.92039801,NA,0.462686567,NA,0.263681592,NA,0.059701493,NA,0.353233831,NA,1,0.0402
9,Cond9,0.45,1,0,0,5,120,1,0.4,CSMMA,0,0.3,0,0.1,-0.01148077,0.000489276,0.206457988,-0.014840706,-0.014843324,0.134524772,-0.01148077,0.000815461,0.206457988,-0.014840706,-0.148433241,1.345247716,0.102037333,0.065518467,1.580637657,0.181459742,2.460194213,0.080312807,0.063170839,1.546296594,0.104998581,2.689546867,-0.212907625,-0.035831554,-0.021726082,-0.421367076,0.093225426,0.928853755,0.924901186,0.984189723,0.897233202,0.996047431,1,NA,NA,0.992094862,NA,NA,NA,0.276679842,NA,0.003952569,NA,NA,NA,1,0.0506
10,Cond10,0.45,1,0,0.3,5,120,1,0.4,CSMMA,0,0.3,0.3,0.1,0.012004015,-0.005232765,0.091366165,-0.009424859,-0.011486743,0.33210504,0.012004015,-0.008721276,0.304553885,-0.009424859,-0.114867433,3.321050399,0.086447875,0.06324416,1.901634881,0.121555754,2.198425387,0.076030398,0.063259347,1.952943162,0.10107823,2.748823983,-0.120505874,0.00024013,0.026981142,-0.168461986,0.250360371,0.951923077,0.9375,0.971153846,0.865384615,0.995192308,1,NA,NA,0.980769231,NA,0.173076923,NA,0.230769231,NA,0.019230769,NA,NA,NA,1,0.0416
